title,link,image,lprice,hprice,mallName,productId,productType
Apple 아이폰 12 프로 맥스 128GB [LG U+],https://search.shopping.naver.com/gate.nhn?id=24453130522,https://shopping-phinf.pstatic.net/main_2445313/24453130522.20201014123647.jpg,1039000,1474000,네이버,24453130522,1
Apple 아이폰 SE2 64GB (KT),https://search.shopping.naver.com/gate.nhn?id=22519601452,https://shopping-phinf.pstatic.net/main_2251960/22519601452.20201203165544.jpg,379000,539000,네이버,22519601452,1
미사용 아이폰XS iPhone XS 64GB/256GB/공기계/자급제,https://search.shopping.naver.com/gate.nhn?id=22206819945,https://shopping-phinf.pstatic.net/main_2220681/22206819945.jpg,530840,0,인터파크,22206819945,2
Apple 아이폰 11 Pro 64GB (KT),https://search.shopping.naver.com/gate.nhn?id=20858335991,https://shopping-phinf.pstatic.net/main_2085833/20858335991.20200714150539.jpg,864700,1305000,네이버,20858335991,1
애플 아이폰12 Pro Apple iPhone 12 Pro / 홍콩판 물리적듀얼심 / 언락폰 공기계 / 홍콩항공직송 / 카메라무음,https://search.shopping.naver.com/gate.nhn?id=82717168486,https://shopping-phinf.pstatic.net/main_8271716/82717168486.5.jpg,1349000,0,forplus,82717168486,2
Apple 아이폰 12 프로 맥스 256GB [LG U+],https://search.shopping.naver.com/gate.nhn?id=24453150522,https://shopping-phinf.pstatic.net/main_2445315/24453150522.20201014124146.jpg,1169000,1619000,네이버,24453150522,1
Apple 아이폰 XS Max 64GB [KT 번호이동],https://search.shopping.naver.com/gate.nhn?id=15988900942,https://shopping-phinf.pstatic.net/main_1598890/15988900942.20181109110422.jpg,815200,815200,네이버,15988900942,1
Apple 아이폰XR 256GB (SKT),https://search.shopping.naver.com/gate.nhn?id=16044502209,https://shopping-phinf.pstatic.net/main_1604450/16044502209.20190208110240.jpg,288500,1188000,네이버,16044502209,1
"[SKT LG KT 유심 바로사용] 128G 애플 아이폰 SE 1세대 스마트폰 - 언락, 북미판, 공기계",https://search.shopping.naver.com/gate.nhn?id=82619165041,https://shopping-phinf.pstatic.net/main_8261916/82619165041.jpg,199000,0,storybox,82619165041,2
Apple 아이폰XS Max 64GB (SKT),https://search.shopping.naver.com/gate.nhn?id=16045202761,https://shopping-phinf.pstatic.net/main_1604520/16045202761.20181109150738.jpg,497800,1496000,네이버,16045202761,1
Apple 아이폰8 64G (SKT),https://search.shopping.naver.com/gate.nhn?id=12666185860,https://shopping-phinf.pstatic.net/main_1266618/12666185860.20180817145813.jpg,208500,208500,네이버,12666185860,1
Apple 아이폰XR 128GB (KT),https://search.shopping.naver.com/gate.nhn?id=16045915885,https://shopping-phinf.pstatic.net/main_1604591/16045915885.20190208110438.jpg,43500,930700,네이버,16045915885,1
Apple 아이폰7 32GB (KT),https://search.shopping.naver.com/gate.nhn?id=10310329255,https://shopping-phinf.pstatic.net/main_1031032/10310329255.20160908110948.jpg,1,796700,네이버,10310329255,1
Apple 아이폰 12 Pro  Silver  128GB,https://search.shopping.naver.com/gate.nhn?id=25841067384,https://shopping-phinf.pstatic.net/main_2584106/25841067384.jpg,1269000,0,쿠팡,25841067384,2
Apple 아이폰8 Plus 64GB (KT),https://search.shopping.naver.com/gate.nhn?id=12666348287,https://shopping-phinf.pstatic.net/main_1266634/12666348287.20180511145039.jpg,42000,976900,네이버,12666348287,1
Apple 아이폰 12 64GB [LG U+],https://search.shopping.naver.com/gate.nhn?id=24452857528,https://shopping-phinf.pstatic.net/main_2445285/24452857528.20201223101824.jpg,398000,961900,네이버,24452857528,1
Apple 아이폰 11 프로 맥스 256G [자급제],https://search.shopping.naver.com/gate.nhn?id=20858568204,https://shopping-phinf.pstatic.net/main_2085856/20858568204.20200604141433.jpg,1599990,2900000,네이버,20858568204,1
Apple 아이폰XS Max 256GB (KT),https://search.shopping.naver.com/gate.nhn?id=15992078922,https://shopping-phinf.pstatic.net/main_1599207/15992078922.20190208142914.jpg,597400,1664800,네이버,15992078922,1
Apple 아이폰 SE2 256GB (KT),https://search.shopping.naver.com/gate.nhn?id=22520082092,https://shopping-phinf.pstatic.net/main_2252008/22520082092.20201203155440.jpg,413700,748000,네이버,22520082092,1
LG U+ / KT 통신사 (번호이동/기기변경)애플 아이폰12 미니 128G,https://search.shopping.naver.com/gate.nhn?id=25512942178,https://shopping-phinf.pstatic.net/main_2551294/25512942178.jpg,612000,0,쿠팡,25512942178,2
애플 아이폰12프로 128GB iphone12 pro 초특가판매,https://search.shopping.naver.com/gate.nhn?id=25524497786,https://shopping-phinf.pstatic.net/main_2552449/25524497786.jpg,1066000,0,G마켓,25524497786,2
Apple 아이폰8 64GB (KT),https://search.shopping.naver.com/gate.nhn?id=12666302766,https://shopping-phinf.pstatic.net/main_1266630/12666302766.20180511145436.jpg,1,839400,네이버,12666302766,1
[돌담컴퍼니] SKT KT U+ 아이폰12/아이폰12미니 제휴카드 기획전,https://search.shopping.naver.com/gate.nhn?id=25876291203,https://shopping-phinf.pstatic.net/main_2587629/25876291203.jpg,160500,0,쿠팡,25876291203,2
Apple 아이폰 SE2 128GB (LG U+),https://search.shopping.naver.com/gate.nhn?id=22520082088,https://shopping-phinf.pstatic.net/main_2252008/22520082088.20201223100656.jpg,13900,229900,네이버,22520082088,1
아이폰 12 미니/아이폰12/아이폰 12pro,https://search.shopping.naver.com/gate.nhn?id=82872864647,https://shopping-phinf.pstatic.net/main_8287286/82872864647.jpg,497500,0,컴포즈마켓,82872864647,2
미사용 아이폰XS iPhone XS 64GB/256GB/공기계/자급제,https://search.shopping.naver.com/gate.nhn?id=82401589605,https://shopping-phinf.pstatic.net/main_8240158/82401589605.jpg,559000,0,나노스토어,82401589605,2
Apple 아이폰 11 256GB (SKT),https://search.shopping.naver.com/gate.nhn?id=20858302560,https://shopping-phinf.pstatic.net/main_2085830/20858302560.20190911112959.jpg,764730,1124900,네이버,20858302560,1
"아이폰 12(mini,pro,max)",https://search.shopping.naver.com/gate.nhn?id=82790293279,https://shopping-phinf.pstatic.net/main_8279029/82790293279.jpg,690000,0,신도림빵집,82790293279,2
Apple 아이폰 12 프로 128GB [LG U+],https://search.shopping.naver.com/gate.nhn?id=24452731527,https://shopping-phinf.pstatic.net/main_2445273/24452731527.20201221170627.jpg,1078650,1225900,네이버,24452731527,1
Apple 아이폰 12 256GB [SKT],https://search.shopping.naver.com/gate.nhn?id=24452859524,https://shopping-phinf.pstatic.net/main_2445285/24452859524.20201014120500.jpg,1045990,1212300,네이버,24452859524,1
Apple 아이폰 11 Pro Max 64GB (SKT),https://search.shopping.naver.com/gate.nhn?id=20858485221,https://shopping-phinf.pstatic.net/main_2085848/20858485221.20200115151917.jpg,1131840,1472900,네이버,20858485221,1
아이폰 12프로 맥스 초특가 행사,https://search.shopping.naver.com/gate.nhn?id=82790298598,https://shopping-phinf.pstatic.net/main_8279029/82790298598.1.jpg,1170000,0,친절한 꽁폰,82790298598,2
Apple 아이폰XS 512GB (KT),https://search.shopping.naver.com/gate.nhn?id=15979207311,https://shopping-phinf.pstatic.net/main_1597920/15979207311.20190208142534.jpg,758000,1774800,네이버,15979207311,1
Apple 아이폰XS Max 512GB (KT),https://search.shopping.naver.com/gate.nhn?id=15992102783,https://shopping-phinf.pstatic.net/main_1599210/15992102783.20181109110056.jpg,758000,1928800,네이버,15992102783,1
애플 아이폰SE iPhoneSE 64G 정품/공기계,https://search.shopping.naver.com/gate.nhn?id=82828212748,https://shopping-phinf.pstatic.net/main_8282821/82828212748.1.jpg,198000,0,아이티몰 스토어,82828212748,2
Apple 아이폰 11 Pro 256GB (KT),https://search.shopping.naver.com/gate.nhn?id=20858388014,https://shopping-phinf.pstatic.net/main_2085838/20858388014.20190911115822.jpg,1289800,1649000,네이버,20858388014,1
아이폰12 미니 mini 무음카메라 언락폰 페덱스 총알 배송,https://search.shopping.naver.com/gate.nhn?id=82705898266,https://shopping-phinf.pstatic.net/main_8270589/82705898266.jpg,950000,0,이지콤파스,82705898266,2
Apple 아이폰 12 Pro  Pacific Blue  256GB,https://search.shopping.naver.com/gate.nhn?id=25851467700,https://shopping-phinf.pstatic.net/main_2585146/25851467700.jpg,1400600,0,쿠팡,25851467700,2
Apple 아이폰 SE2 64GB (LG U+),https://search.shopping.naver.com/gate.nhn?id=22520081917,https://shopping-phinf.pstatic.net/main_2252008/22520081917.20201221165017.jpg,1,569000,네이버,22520081917,1
애플 아이폰8 64GB/256GB 공기계/LG/SKT/KT 3사 이용가능,https://search.shopping.naver.com/gate.nhn?id=82267990139,https://shopping-phinf.pstatic.net/main_8226799/82267990139.jpg,359000,0,나노멤버스,82267990139,2
Apple 아이폰X 256GB (KT),https://search.shopping.naver.com/gate.nhn?id=12725341655,https://shopping-phinf.pstatic.net/main_1272534/12725341655.20180607164631.jpg,199800,895700,네이버,12725341655,1
Apple 아이폰 11 256GB (KT),https://search.shopping.naver.com/gate.nhn?id=20858302277,https://shopping-phinf.pstatic.net/main_2085830/20858302277.20190911112906.jpg,828000,1188000,네이버,20858302277,1
Apple 아이폰 12 미니 iPhone 12 mini 5.4인치 단일심 64GB/128GB/256GB 홍콩발송,https://search.shopping.naver.com/gate.nhn?id=82706793535,https://shopping-phinf.pstatic.net/main_8270679/82706793535.1.jpg,939000,0,EZBUY,82706793535,2
애플 아이폰12프로 256GB iphone12 pro 빠른배송,https://search.shopping.naver.com/gate.nhn?id=25530861703,https://shopping-phinf.pstatic.net/main_2553086/25530861703.jpg,1198000,0,G마켓,25530861703,2
애플 아이폰5S iPhone5S 16G/32G 공기계/휴대폰 정품,https://search.shopping.naver.com/gate.nhn?id=25487805609,https://shopping-phinf.pstatic.net/main_2548780/25487805609.jpg,148000,0,쿠팡,25487805609,2
